T,Solar,Wind,Price
323,0.5055,0.946563817,58.09
324,0.6058,0.960373519,57.49
325,0.6621,0.902472684,58.09
326,0.6563,0.984722288,55.95
327,0.5704,0.975356288,55.95
328,0.4009,0.988818489,58.09
329,0.1757,0.962080248,59.49
330,0,0.829173376,281.64
331,0,0.861478905,65.65
332,0,0.708340626,60.87
333,0,0.80173943,61.56
334,0,0.934488065,55.95
335,0,0.816971255,54
336,0,0.771816157,41.98
337,0,0.94316447,39.85
338,0,0.917808205,39.85
339,0,0.849575501,38.91
340,0,0.743734472,38.91
341,0,0.788642683,38.91
342,0,0.910360292,41.98
343,0,0.848955683,50.57
344,0,0.691919573,92.82
345,0.2406,0.796619206,139.05
346,0.4691,0.726943493,108.03
347,0.6312,0.521944449,155.73
348,0.7083,0.364361629,119.62
349,0.7193,0.868469983,123.51
350,0.7062,0.747410416,111.94
351,0.6127,0.97428923,109.87
352,0.4407,0.992669952,109.87
353,0.1983,0.992086393,110.13
354,0,0.947628702,158.57
355,0,0.885328979,98.23
356,0,0.806516838,54.19
357,0,0.822368779,53.74
358,0,0.661465929,53.74
359,0,0.868049769,50.87
360,0,0.700430137,35.4
361,0,0.85716959,35.4
362,0,0.804059389,35.4
363,0,0.744811446,35.07
364,0,0.754774782,35.07
365,0,0.720350856,35.07
366,0,0.751400847,35.4
367,0,0.664680443,35.91
368,0,0.450935502,52.94
369,0.2391,0.214257468,53.55
370,0.4586,0.03511647,53.55
371,0.6179,0,53.55
372,0.6974,0.00E+00,70.94
373,0.6672,0,70.94
374,0.6136,0.014430172,70.94
375,0.4943,0.371208234,70.94
376,0.2741,0.610528527,70.96
377,0.0666,0.831762049,134.95
378,0,0.925725697,174.1
379,0,0.968085504,156.31
380,0,0.980523275,134.97
381,0,0.096003333,70.96
382,0,0.942297652,70.96
383,0,0.911602311,51.83
384,0,0.95613506,51.22
385,0,0.816021508,42.53
386,0,0.886798406,37.5
387,0,0.826378599,35.92
388,0,0.79843295,35.91
389,0,0.402318486,35.31
390,0,0.418570533,35.92
391,0,0.313193049,69.65
392,0,0.066860672,75.09
393,0.063,0.03185878,77.62
394,0.2298,0.049247421,75.09
395,0.3955,0.037018027,75.09
396,0.4576,0.043212133,75.09
397,0.4251,0.027442483,75.09
398,0.397,0.049130878,75.09
399,0.2726,0.173488314,74.08
400,0.148,0.527011108,73.51
401,0.0133,0.514746765,74.34
402,0,0.49731194,75.09
403,0,0.62236004,74.34
404,0,0.512548745,75.09
405,0,0.549878942,74.12
406,0,0.43829222,72.62
407,0,0.929912954,52.58
408,0,0.944926765,52.58
409,0,0.970050549,52.58
410,0,0.944528179,51.77
411,0,0.943410039,47.64
412,0,0.998265543,47.64
413,0,1,47.64
414,0,1,47.64
415,0,1,36.1
416,0,1,45.69
417,0.2194,1,65.66
418,0.4257,0.989673945,65.66
419,0.5872,1,70.73
420,0.6481,1,70.73
421,0.6592,1,68.71
422,0.6547,1,68.26
423,0.5823,1,65.66
424,0.4386,1,67.5
425,0.2089,1,70.58
426,0,1,210.7
427,0,1,209.49
428,0,0.998989599,71.7
429,0,0.972592272,70.73
430,0,0.926744026,68.44
431,0,0.77535187,65.57
432,0,0.646480154,65.57
433,0,0.510818815,48.9
434,0,0.342918236,48.9
435,0,0.131211395,45.69
436,0,0.06220251,44.62
437,0,0.027965488,44.62
438,0,0,44.62
439,0,0,34.83
440,0,0,35.59
441,0.2198,0,43.17
442,0.4112,0,51.46
443,0.5551,0,53.44
444,0.6202,0,53.66
445,0.6322,0,62.36
446,0.6454,0,62.36
447,0.582,0.063332945,62.36
448,0.4182,0.178956867,62.14
449,0.1694,0.296949659,62.36
450,0,0.136538672,69.62
